식당명,지번,위치,영업시간,태그
해우리참치,신공덕동 171 1층 101동 해우리참치,서울 마포구 백범로 202,"평일 17:00 - 23:30, 토요일 17:00 - 22:30, 일요일 휴무",#4~10만원 #한식 #가성비 좋은
호호미욜,상수동 93-44,서울 마포구 와우산로 50,"평일 10:00 - 22:30, 토요일 10:00 - 22:30, 일요일 12:00 - 22:00, 공휴일 12:00 - 22:00",#가격정보 없음 #카페 #분위기 좋은
