?,8.12
있다,4.62
하다,3.67
에,3.07
추천,3.03
혹시,2.93
곳,2.16
맛집,1.92
다,1.58
한,1.48
분,1.21
수,1.15
늘다,1.08
요,0.94
좋다,0.91
괜찮다,0.88
근처,0.88
아시,0.81
쪽,0.81
가보다,0.71
집,0.71
계시,0.67
안녕하다,0.67
맛있다,0.64
가다,0.64
먹다,0.61
이나,0.61
에서,0.57
이,0.57
좀,0.57
도,0.57
부탁드리다,0.51
ㅎㅎ,0.47
서울,0.47
은,0.44
~,0.44
강남,0.4
로,0.4
갈다,0.4
받다,0.37
신분,0.37
식당,0.37
가요,0.34
으로,0.34
,,0.34
같다,0.3
한식,0.3
.,0.3
/,0.3
잠실,0.27
부모님,0.27
...,0.27
이다,0.27
레스토랑,0.27
없다,0.27
되다,0.27
어떻다,0.24
ㅜㅜ,0.24
이태원,0.24
가보,0.24
을,0.24
압구정,0.24
면,0.24
ㅋㅋ,0.24
점심,0.24
광화문,0.24
대다,0.2
식사,0.2
중,0.2
이탈리안,0.2
물회,0.2
만원,0.2
),0.2
오다,0.2
음식점,0.2
알다,0.2
저녁,0.2
..,0.2
분위기,0.2
2,0.2
가로수길,0.17
들다,0.17
주말,0.17
보다,0.17
용,0.17
맥주,0.17
친구,0.17
랑,0.17
저,0.17
지다,0.17
드리다,0.17
카페,0.17
고,0.17
5,0.17
주변,0.17
연남동,0.17
종로,0.17
나,0.17
실만,0.17
여기,0.17
1,0.17
만,0.17
해주다,0.17
않다,0.13
한남동,0.13
말,0.13
가격,0.13
서다,0.13
강남역,0.13
합정,0.13
부탁,0.13
퓨전,0.13
ㅠㅠ,0.13
맛,0.13
고기,0.13
홍대,0.13
안,0.13
식,0.13
(,0.13
의,0.13
감사,0.13
청담,0.13
이랑,0.13
ㅠ,0.13
외국인,0.13
에도,0.13
먹기,0.13
줄,0.13
해운대,0.13
어디,0.13
논현,0.13
를,0.13
데,0.13
비,0.13
횟집,0.13
가기,0.1
보신,0.1
너무,0.1
양재,0.1
어디가,0.1
나다,0.1
여의도,0.1
예정,0.1
점,0.1
조용하다,0.1
더,0.1
프리,0.1
모시,0.1
까지,0.1
소고기,0.1
서요,0.1
난,0.1
역,0.1
4,0.1
과,0.1
회식,0.1
인데,0.1
라인,0.1
보이,0.1
태국,0.1
인,0.1
라이딩,0.1
거리,0.1
술집,0.1
제주도,0.1
좋아하다,0.1
위치,0.1
스테이크,0.1
